phrase,paper_count,word_count
product set,69,2
upper bounded,69,2
continuous function,69,2
graph complete,69,2
complexity theory,69,2
pipe dream,69,2
partial flag variety,69,3
shed light,69,2
real-world network,69,2
strong sense,69,2
singularity analysi,69,2
elementary symmetric function,69,3
exact number,68,2
transformation formula,68,2
triangular lattice,68,2
semistandard tableau,68,2
algebra generated,68,2
lagrange inversion,68,2
squarefree monomial,68,2
cohen macaulay,68,2
cauchy identity,68,2
euler genu,68,2
hamilton path,68,2
positive definite,68,2
graded betti,68,2
narayana number,68,2
cactu graph,68,2
golden ratio,68,2
edge colored,68,2
comparability graph,68,2
impartial game,68,2
clique cover,68,2
set polytope,68,2
datum set,68,2
motzkin number,68,2
minimum rank,68,2
lower order,68,2
terwilliger algebra,68,2
useful tool,68,2
morse function,67,2
klein bottle,67,2
approximation scheme,67,2
side length,67,2
canonical basi,67,2
determinant formula,67,2
critical group,67,2
simplicial sphere,67,2
total order,67,2
minimal set,67,2
bridgeles graph,67,2
additive number,67,2
pairwise distance,67,2
closed curve,67,2
affine grassmannian,67,2
probability tending,67,2
arc set,67,2
interval order,67,2
proposed algorithm,67,2
upper density,67,2
minimal forbidden,67,2
finite projective plane,67,3
tropical linear,67,2
very short,67,2
maximal element,67,2
dimensional lattice,67,2
central binomial,66,2
face lattice,66,2
asymptotic density,66,2
intersection lattice,66,2
integral formula,66,2
ground state,66,2
provide evidence,66,2
ferrer diagram,66,2
asymptotically normal,66,2
determinantal formula,66,2
affine hecke,66,2
state space,66,2
np-hard even,66,2
normal distribution,66,2
complete flag,66,2
building upon,66,2
labeled graph,66,2
network coding,66,2
