phrase,paper_count,word_count
believe,243,1
devoted,243,1
machine,243,1
metric dimension,242,2
conjugacy class,242,2
strength,242,1
complete multipartite graph,242,3
subsequently,242,1
ribbon,241,1
minkowski,241,1
homological,241,1
broad,241,1
placed,241,1
tail,241,1
realize,241,1
importance,241,1
included,240,1
central limit,240,2
referred,239,1
commuting,239,1
functional equation,239,2
algebraically,239,1
twice,239,1
board,238,1
horizontal,238,1
stating,238,1
perturbation,238,1
return,238,1
quasisymmetric function,238,2
empirical,238,1
ser,238,1
running time,238,2
axiom,237,1
distributive,237,1
scalar,237,1
connected subgraph,237,2
never,237,1
utilize,237,1
intriguing,237,1
locus,236,1
grid graph,236,2
hexagon,236,1
missing,236,1
outerplanar graph,236,2
popular,236,1
erdos-renyi random,236,2
polyhedron,235,1
diamond,235,1
dichotomy,235,1
ensemble,234,1
subclass,234,1
frieze,234,1
agree,234,1
dihedral group,233,2
oriented matroid,233,2
converse,233,1
claw-free,233,1
lot,232,1
lee,232,1
bridge,232,1
concentration,232,1
thomassen,232,1
jacobi,231,1
riordan,231,1
excluding,231,1
away,231,1
simultaneou,231,1
remove,231,1
reducing,230,1
robust,230,1
achieving,230,1
maximizing,230,1
discrepancy,230,1
coding theory,230,2
phylogenetic tree,230,2
frequency,230,1
sometime,230,1
cros,229,1
winning strategy,229,2
polynomially,229,1
none,229,1
edge-connected,229,1
minimizing,228,1
analyzed,227,1
dependent,227,1
computationally,227,1
separated,227,1
central limit theorem,226,3
simulation,226,1
sharing,226,1
erdos-renyi random graph,226,3
crossing number,225,2
wilson,225,1
query,225,1
rigorou,225,1
field theory,225,2
kronecker,224,1
inductive,224,1
conditional,224,1
companion,224,1
comparing,224,1
